animal,time,group,Y,data_category,limit,censoring,inoculum,data_category_names
BL669,336,Non H6 50AID50,2.477,2,.,0,50,DNA_blood
BA209,17,H6 50AID50,5.494960392,1,.,0,50,RNA_VL
BO413,15,Non H6 50AID50,5.507259202,1,.,0,50,RNA_VL
BO186,14,Non H6 5AID50,5.550563063,1,.,0,5,RNA_VL
BL669,36,Non H6 50AID50,5.578569062,1,.,0,50,RNA_VL
BG927,11,Non H6 50AID50,5.583669075,1,.,0,50,RNA_VL
BA081,17,H6 50AID50,5.595123103,1,.,0,50,RNA_VL
BA081,9,H6 50AID50,5.638865802,1,.,0,50,RNA_VL
BO186,7,Non H6 5AID50,2.624,2,.,0,5,DNA_blood
BC094,15,Non H6 5AID50,5.642813365,1,.,0,5,RNA_VL
BD536,14,Non H6 5AID50,5.674060024,1,.,0,5,RNA_VL
AV979,57,Non H6 50AID50,5.678079454,1,.,0,50,RNA_VL
BL669,15,Non H6 50AID50,5.681582869,1,.,0,50,RNA_VL
BO186,15,Non H6 5AID50,3.891,2,.,0,5,DNA_blood
BO413,14,Non H6 50AID50,5.690191711,1,.,0,50,RNA_VL
BA209,14,H6 50AID50,5.693033823,1,.,0,50,RNA_VL
BG927,15,Non H6 50AID50,5.694276915,1,.,0,50,RNA_VL
BD536,11,Non H6 5AID50,5.69644148,1,.,0,5,RNA_VL
BO186,28,Non H6 5AID50,3.802,2,.,0,5,DNA_blood
29915,17,H6 50AID50,5.698988073,1,.,0,50,RNA_VL
BO186,36,Non H6 5AID50,3.607,2,.,0,5,DNA_blood
AV979,42,Non H6 50AID50,5.714207255,1,.,0,50,RNA_VL
BO413,17,Non H6 50AID50,5.778443665,1,.,0,50,RNA_VL
BO186,57,Non H6 5AID50,3.515,2,.,0,5,DNA_blood
AV979,24,Non H6 50AID50,5.821839551,1,.,0,50,RNA_VL
AV979,28,Non H6 50AID50,5.830302664,1,.,0,50,RNA_VL
BO186,105,Non H6 5AID50,2.865,2,.,0,5,DNA_blood
BL669,17,Non H6 50AID50,5.842621223,1,.,0,50,RNA_VL
BO186,169,Non H6 5AID50,3.12,2,.,0,5,DNA_blood
BA081,15,H6 50AID50,5.849687574,1,.,0,50,RNA_VL
BC094,17,Non H6 5AID50,5.868640037,1,.,0,5,RNA_VL
BC179,14,Non H6 5AID50,5.9056046,1,.,0,5,RNA_VL
BB598,15,Non H6 50AID50,5.938353381,1,.,0,50,RNA_VL
BG927,21,Non H6 50AID50,5.998650802,1,.,0,50,RNA_VL
BO186,336,Non H6 5AID50,2.548,2,.,0,5,DNA_blood
29915,14,H6 50AID50,6.002160534,1,.,0,50,RNA_VL
BL669,14,Non H6 50AID50,6.00982024,1,.,0,50,RNA_VL
BO186,11,Non H6 5AID50,6.013243998,1,.,0,5,RNA_VL
BC657,17,H6 50AID50,6.02233792,1,.,0,50,RNA_VL
BG927,14,Non H6 50AID50,6.027156042,1,.,0,50,RNA_VL
BO413,7,Non H6 50AID50,2.602,2,.,0,50,DNA_blood
BD885,17,Non H6 50AID50,6.060074633,1,.,0,50,RNA_VL
BD885,11,Non H6 50AID50,6.067698325,1,.,0,50,RNA_VL
AV979,36,Non H6 50AID50,6.104334876,1,.,0,50,RNA_VL
BA209,11,H6 50AID50,6.110659123,1,.,0,50,RNA_VL
BO413,15,Non H6 50AID50,3.58,2,.,0,50,DNA_blood
BD885,15,Non H6 50AID50,6.132478859,1,.,0,50,RNA_VL
31041,15,H6 50AID50,6.133838674,1,.,0,50,RNA_VL
29915,11,H6 50AID50,6.158722238,1,.,0,50,RNA_VL
